NAME,INSERT__C,UPDATE__C,DELETE__C,TRIGGER_NAME__C,BEFORE__C,AFTER__C,ENABLED__C,TRIGGER_HANDLER__C,MARKET__C
TriggerAddressJP,TRUE,TRUE,TRUE,TriggerAddress,TRUE,TRUE,TRUE,TriggerAddressTriggerHandlerJP,JP
AttachmentAfterJP,TRUE,TRUE,TRUE,AttachmentAfter,TRUE,TRUE,TRUE,AttachmentAfterTriggerHandler,JP
CampaignMemberAfterTriggerJP,TRUE,TRUE,TRUE,CampaignMemberAfterTrigger,TRUE,TRUE,FALSE,CampaignMemberAfterTriggerHandler,JP
CaseTriggerJP,TRUE,TRUE,TRUE,CaseTrigger,TRUE,TRUE,TRUE,CaseTriggerHandlerJP,JP
ContactTriggerJP,TRUE,TRUE,TRUE,ContactTrigger,TRUE,TRUE,TRUE,ContactTriggerHandlerJP,JP
RecallAfterInsertUpdateJP,TRUE,TRUE,TRUE,RecallAfterInsertUpdate,TRUE,TRUE,TRUE,RecallAfterInsertUpdateTriggerHandlerJP,JP
RetailCampaignTriggerJP,TRUE,TRUE,TRUE,RetailCampaignTrigger,TRUE,TRUE,TRUE,RetailCampaignTriggerHandlerJP,JP
SSITriggerJP,TRUE,TRUE,TRUE,SSITrigger,TRUE,TRUE,TRUE,SSITriggerHandler,JP
TaskTriggerJP,TRUE,TRUE,TRUE,TaskTrigger,TRUE,TRUE,TRUE,TaskTriggerHandlerJP,JP
ToolKitTriggerJP,TRUE,TRUE,TRUE,ToolKitTrigger,TRUE,TRUE,TRUE,ToolKitTriggerHandler,JP
TriggerAccountJP,TRUE,TRUE,TRUE,TriggerAccount,TRUE,TRUE,TRUE,TriggerAccountTriggerHandlerJP,JP
TriggerBatchJobJP,TRUE,TRUE,TRUE,TriggerBatchJob,TRUE,TRUE,TRUE,TriggerBatchJobTriggerHandler,JP
TriggerCampaignKR,TRUE,TRUE,TRUE,TriggerCampaign,TRUE,TRUE,TRUE,TriggerCampaignTriggerHandlerKR,KR
TriggerCampaignJP,TRUE,TRUE,TRUE,TriggerCampaign,TRUE,TRUE,TRUE,TriggerCampaignTriggerHandlerJP,JP
TriggerCampaignCityJP,TRUE,TRUE,TRUE,TriggerCampaignCity,TRUE,TRUE,TRUE,TriggerCampaignCityTriggerHandlerJP,JP
TriggerCampaignLeadJP,TRUE,TRUE,TRUE,TriggerCampaignLead,TRUE,TRUE,TRUE,TriggerCampaignLeadTriggerHandlerJP,JP
TriggerCampaignMembersJP,TRUE,TRUE,TRUE,TriggerCampaignMembers,TRUE,TRUE,TRUE,TriggerCampaignMembersTriggerHandler,JP
TriggerCampaignOfferingJP,TRUE,TRUE,TRUE,TriggerCampaignOffering,TRUE,TRUE,TRUE,TriggerCampaignOfferingTriggerHandlerJP,JP
